REGISTRO;ARCHIVO;COMMIT;ID;FILEMOD
0001;Ropa.csv;18b579d3e8e8244f096a20e1fccf1449487e81bb;3e5928;100644
0002;Ropa.csv;5dad0b02bb3be1e3f6e59a042360d6ca6c15cb7b;3e5928c..abbf9b1;100644
0003;whatDo.txt;5dad0b02bb3be1e3f6e59a042360d6ca6c15cb7b;0000000..bc733ec;100644
0004;lookDress.txt;5dad0b02bb3be1e3f6e59a042360d6ca6c15cb7b;0000000..f915d38;100644
0005;trackedGit.txt;5dad0b02bb3be1e3f6e59a042360d6ca6c15cb7b;0000000..f44b0d9;100644
0006;whatDo.txt;0;bc733ec..4e6ce00;100644
0007;lookDress.txt;0;f915d38..f393dc4;100644
0008;trackedGit.txt;0;f44b0d9..b716713;100644
0009;trackedGit.txt;0;f44b0d9..06911be;100644
0010;trackedGit.txt;72f00bb59aec8d29095202d2259680b9220819ba;f44b0d9..9005d0d;100644
0011;trackedGit.txt;be56bcbaf8df64cb968f6dcd99d8b5ac0278c719;ChangeUser;100644
